ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009747984;36232;36;24;243600301.0;VENDOEUVRES;1072;6.0;954.0;5;36232
COMMUNE_0000000009739524;67320;67;44;246700777.0;NEUVE EGLISE;631;;;5;67320
COMMUNE_0000000009733961;60224;60;32;246000871.0;ETAVIGNY;157;1.0;1825.0;5;60224
COMMUNE_0000000009731285;8462;8;44;240800862.0;VAUX CHAMPAGNE;130;;;5;08462
COMMUNE_0000000009749031;85227;85;52;248500563.0;SAINT HILAIRE DES LOGES;1965;28.0;1255.0;5;85227
COMMUNE_0000000009735769;67202;67;44;246700959.0;HOCHFELDEN;3958;;;5;67202
COMMUNE_0000000009735435;51384;51;44;200067684.0;MORANGIS;382;2.0;1019.0;5;51384
COMMUNE_0000000009747387;85221;85;52;200071629.0;SAINT GERVAIS;2621;36.0;1675.0;5;85221
COMMUNE_0000000009759024;12154;12;76;200067163.0;MONTLAUR;628;1.0;420.0;5;12154
COMMUNE_0000000009749070;74281;74;84;200067551.0;THONON LES BAINS;35132;524.0;3052.0;5;74281
COMMUNE_0000000009741512;88287;88;44;200068773.0;MAREY;70;;;5;88287
COMMUNE_0000000009736810;67229;67;44;200068864.0;JETTERSWILLER;191;;;5;67229
COMMUNE_0000000009745152;41052;41;24;200030385.0;CHITENAY;1058;16.0;1730.0;5;41052
COMMUNE_0000000009739326;28188;28;24;200069953.0;GUE DE LONGROI;938;18.0;1721.0;5;28188
COMMUNE_0000000009732459;51337;51;44;200067213.0;MAGNEUX;283;1.0;1714.0;5;51337
COMMUNE_0000000009727184;59568;59;32;200040947.0;SERCUS;450;1.0;2065.0;5;59568
COMMUNE_0000000009749899;79003;79;75;200041317.0;AIFFRES;5510;53.0;1422.0;5;79003
COMMUNE_0000000009753504;38042;38;84;243801073.0;BEVENAIS;1000;1.0;1957.0;5;38042
COMMUNE_0000000009728079;62047;62;32;200069672.0;AUBROMETZ;153;2.0;1100.0;5;62047
COMMUNE_0000000009730651;80678;80;32;200070977.0;ROLLOT;741;6.0;1535.0;5;80678
COMMUNE_0000000009729299;76004;76;28;200068534.0;AMBRUMESNIL;480;6.0;1498.0;5;76004
COMMUNE_0000000009740600;72276;72;52;200072676.0;SAINT COSME EN VAIRAIS;1997;20.0;1075.0;5;72276
COMMUNE_0000000009762494;11006;11;76;200035863.0;ALBAS;76;1.0;1648.0;5;11006
COMMUNE_0000000009753040;38035;38;84;200059392.0;BEAUVOIR DE MARC;1132;1.0;2428.0;5;38035
COMMUNE_0000000009736658;61114;61;28;200068450.0;COMMEAUX;152;2.0;2621.0;5;61114
COMMUNE_0000000009754380;33203;33;75;200070720.0;HOURTIN;3487;150.0;2633.0;5;33203
COMMUNE_0000000009735141;27148;27;28;200066413.0;CHAPELLE GAUTHIER;404;;;5;27148
COMMUNE_0000000009734237;67113;67;44;200041283.0;EBERBACH SELTZ;418;;;5;67113
COMMUNE_0000000009759545;32384;32;76;200066926.0;SAINT LARY;282;4.0;1541.0;5;32384
COMMUNE_0000000009744136;70277;70;27;247000714.0;GRANGES LE BOURG;380;3.0;1418.0;5;70277
COMMUNE_0000000009728011;59336;59;32;200044618.0;LECLUSE;1369;21.0;1105.0;5;59336
COMMUNE_0000000009755992;15103;15;84;200066678.0;LEUCAMP;234;;;5;15103
COMMUNE_0000000009740032;52230;52;44;200044253.0;GUDMONT VILLIERS;297;;;5;52230
COMMUNE_0000000009751574;23265;23;75;200067593.0;VILLENEUVE;66;;;5;23265
COMMUNE_0000000009733666;14707;14;28;200065597.0;TOURVILLE SUR ODON;1026;1.0;1396.0;5;14707
COMMUNE_0000000009739728;77185;77;11;200072346.0;FLEURY EN BIERE;661;9.0;3263.0;5;77185
COMMUNE_0000000009761825;64230;64;75;200067254.0;GAN;5528;9.0;2095.0;5;64230
COMMUNE_0000000009733572;27354;27;28;242700607.0;IVILLE;493;;;5;27354
COMMUNE_0000000009756952;46062;46;76;244600433.0;CASTELFRANC;416;4.0;1800.0;5;46062
COMMUNE_0000000009752736;73084;73;84;200041010.0;CHIGNIN;865;1.0;2567.0;5;73084
COMMUNE_0000000009745394;21678;21;27;200071017.0;VIC SOUS THIL;193;;;5;21678
COMMUNE_0000000009757730;33188;33;75;200043982.0;GISCOS;183;3.0;1596.0;5;33188
